segment,customers,avg_recency,avg_frequency,avg_monetary,total_value,customer_share_pct,revenue_share_pct
Champions,392,22.418367346938776,4.51530612244898,1303.200331632653,510854.52999999997,15.211486224291813,33.262973072799106
Loyal,497,61.04627766599597,2.8249496981891347,783.1179879275654,389209.64,19.285991462941404,25.34238029560751
At Risk,468,267.0705128205128,2.5448717948717947,711.4243376068376,332946.59,18.160651920838184,21.67895713452964
Hibernating,490,349.9428571428571,1.0,176.24110204081632,86358.14,19.014357780364765,5.6229872042771465
Potential Loyal,266,51.221804511278194,1.612781954887218,310.9327067669173,82708.1,10.322079937912301,5.385324278522844
Can't Lose Them,73,356.16438356164383,1.0,787.8364383561643,57512.06,2.832751261156383,3.7447492207638966
New / Promising,246,24.426829268292682,1.1097560975609757,188.82158536585365,46450.11,9.545983701979045,3.0244789219321526
Needs Attention,145,96.37931034482759,1.0689655172413792,205.28420689655172,29766.21,5.626697710516105,1.9381498715677112
